Variant,E_RMSE (meV/atom),E_bias (meV/atom),T_RMSE (K),T_bias (K),|ΔT|max (K),max|F| ratio
FP64,0.000,0.000,0.00,0.00,0.0,1.000
FP32,27.011,-18.906,1284.51,128.38,17436.4,1.343
FP32_BF16,11.473,4.156,415.31,-53.65,5619.8,0.023
FP32_FP16,36.574,-24.069,413.70,-53.77,5652.3,0.222
