step,cummean_calc_time,cummean_calc_temp,cummean_calc_dens,cummean_wall_time,cummean_calc_epot,cummean_calc_msd,cummean_calc_drft
0,20000.0,295.130144,1.070093,2919.7541036666667,-266437.87048800004,29.689380666666665,0.062953
1,20025.0,296.81277549999993,1.0698823333333334,2923.4544015,-266437.94369283336,29.82583533333333,0.06236533333333333
2,20050.0,295.8984414444444,1.069583,2927.0891485555553,-266437.8181745556,29.892174111111107,0.06155044444444444
3,20075.0,294.85306499999996,1.0693184166666667,2930.733960833333,-266437.62696433335,29.951710499999997,0.06076366666666667
4,20100.0,296.47794239999996,1.0690301333333334,2934.3589362,-266437.50779653335,30.028770666666663,0.05995206666666667
5,20125.0,298.1096974444444,1.0685413333333333,2937.971591444444,-266437.38323783333,30.099773499999998,0.05885122222222222
6,20150.0,299.872915,1.067741,2941.579029238095,-266437.2957294286,30.173373952380953,0.05730104761904762
7,20175.0,299.5054930416667,1.066679125,2945.217573166666,-266437.15803237504,30.259359458333332,0.0553925
8,20200.0,299.5626583703704,1.0653926296296297,2948.8703257777775,-266437.0863238889,30.343583666666664,0.05320648148148148
9,20225.0,299.05744680000004,1.0640107,2952.538716833333,-266437.0109943667,30.426395799999995,0.050956800000000003
10,20250.0,298.4295502121212,1.0626481818181819,2956.2106766969696,-266436.9362785455,30.5009586060606,0.048816696969696975
11,20275.0,297.95555325000004,1.0613855833333334,2959.8718349444443,-266436.8599618611,30.56149869444444,0.046879388888888894
12,20300.0,299.14304043589743,1.0602428717948718,2963.526546794872,-266436.855898,30.605618769230766,0.04514805128205128
13,20325.0,299.59636273809525,1.059177380952381,2967.1757237142856,-266436.81551185716,30.643745690476184,0.043566976190476184
14,20350.0,299.6430813555556,1.0582000222222223,2970.8147584000003,-266436.75622655556,30.679263799999994,0.04215124444444444
15,20375.0,299.4592725208334,1.057424125,2974.4505876041667,-266436.69089756254,30.71433379166666,0.041026062499999995
16,20400.0,298.8969428431373,1.0569091568627451,2978.083337019608,-266436.602443804,30.750218235294113,0.040255941176470585
17,20425.0,298.5999622777779,1.0566694444444442,2981.7150850555554,-266436.5306312038,30.780588277777774,0.039866481481481475
18,20450.0,298.94909628070184,1.0566784561403508,2985.352618210526,-266436.49646675447,30.807541035087716,0.03985608771929824
19,20475.0,299.1604298000001,1.0568899666666665,2988.990000816667,-266436.46415605006,30.836122766666666,0.040196033333333325
20,20500.0,299.2054186349207,1.0572161587301585,2992.621181761905,-266436.437022508,30.85710487301587,0.04078030158730158
21,20525.0,299.49540937878794,1.0575991818181816,2996.2499437575757,-266436.44216568186,30.867625954545453,0.0415046212121212
22,20550.0,299.8870520000001,1.058001492753623,2999.872511014493,-266436.4687779421,30.87578336231884,0.04226688405797101
23,20575.0,299.78486126388896,1.0583815416666664,3003.494597972222,-266436.4851132223,30.880956361111114,0.04297891666666665
24,20600.0,299.5637059600001,1.0586969733333331,3007.1166851733333,-266436.5010495334,30.887208813333338,0.04355911999999999
25,20625.0,298.87959605128214,1.0589155384615383,3010.7463845897437,-266436.49561924365,30.896274589743594,0.043935538461538456
26,20650.0,298.2094659753087,1.0590308518518516,3014.3777203703703,-266436.48324976553,30.914648172839513,0.04410882716049382
27,20675.0,297.8043526428572,1.0590688809523807,3018.012491238095,-266436.46926788107,30.942722476190482,0.044140345238095235
28,20700.0,297.824889816092,1.0590707586206893,3021.649696597701,-266436.4618909886,30.978020310344835,0.044107999999999994
29,20725.0,297.88017072222226,1.059087044444444,3025.287755611111,-266436.44309387787,31.016713288888898,0.04409635555555556
30,20750.0,297.95387920430113,1.059170774193548,3028.9290282903225,-266436.4164120861,31.062272720430112,0.04418991397849462
31,20775.0,298.44936772916674,1.0593269479166665,3032.5726860312498,-266436.4056246772,31.10134648958334,0.04440436458333333
32,20800.0,298.6515938181819,1.059530707070707,3036.219976282828,-266436.3842982021,31.137604040404042,0.04470423232323232
33,20825.0,298.96818317647063,1.059767882352941,3039.869193,-266436.38186641183,31.17357731372549,0.04506413725490195
34,20850.0,298.9325956952382,1.0600204095238095,3043.5176862857143,-266436.38005716196,31.205943742857148,0.04544910476190475
35,20875.0,298.8745536296297,1.0602601018518518,3047.167635638889,-266436.39487576863,31.232892944444448,0.045802027777777775
36,20900.0,298.4378045225226,1.0604680720720718,3050.817076054054,-266436.40513682895,31.256521711711716,0.04608509009009008
37,20925.0,298.1039756052632,1.060616543859649,3054.4640667982458,-266436.42869336857,31.281329921052635,0.046257026315789464
38,20950.0,297.80866987179496,1.0606851367521366,3058.1093387094015,-266436.45660705137,31.312035752136754,0.04629339316239315
39,20975.0,297.6009013333334,1.0606780166666665,3061.7525360083337,-266436.48759776674,31.338234700000005,0.046216783333333324
40,21000.0,297.3634729512196,1.0606027235772357,3065.39197699187,-266436.50720088626,31.366029869918705,0.04605292682926828
41,21025.0,297.3879393333334,1.0604775714285712,3069.0293468650793,-266436.5252791985,31.39835993650794,0.04584145238095237
42,21050.0,297.3350531472869,1.060327534883721,3072.663132248062,-266436.52146941866,31.42753497674419,0.04562586046511627
43,21075.0,297.4964736363637,1.0601646136363636,3076.2970825378784,-266436.5106044394,31.459555568181823,0.045421825757575744
44,21100.0,297.6903280000001,1.0600065185185183,3079.9289344444446,-266436.4848169482,31.49096003703704,0.04525629629629629
45,21125.0,298.3028777391305,1.0598549057971014,3083.5586162971013,-266436.4712576377,31.520178260869567,0.045141311594202885
46,21150.0,298.764987248227,1.0596888226950354,3087.190205539007,-266436.4531401277,31.550822382978726,0.04505870212765956
47,21175.0,298.8078416944445,1.0594979097222221,3090.819103541666,-266436.42580177786,31.582327173611116,0.045004791666666655
48,21200.0,299.16107955102046,1.0592841088435372,3094.444617278911,-266436.43152665993,31.616744931972793,0.04499897278911563
49,21225.0,298.96260783333344,1.0590685666666666,3098.0720299199997,-266436.4271047201,31.65217181333334,0.045073979999999986
50,21250.0,298.7348050000001,1.058870588235294,3101.6998098888885,-266436.43411346414,31.690424653594775,0.045217117647058803
51,21275.0,298.56606888461545,1.0587043076923075,3105.32601625,-266436.4522231283,31.73038646794872,0.04540351923076921
52,21300.0,298.19805468553466,1.0585766226415094,3108.952242232704,-266436.4627223208,31.76705713836478,0.04561987421383646
53,21325.0,298.0152548518519,1.0584721728395061,3112.5787910740737,-266436.4798664507,31.80240885802469,0.045825499999999984
54,21350.0,297.9603262848485,1.058394921212121,3116.205860212121,-266436.4968473879,31.834098193939397,0.0460035212121212
55,21375.0,297.83954784523814,1.0583548749999998,3119.834237315476,-266436.50270828576,31.865795261904765,0.046147904761904744
56,21400.0,297.8628910116959,1.0583600350877191,3123.464942725146,-266436.50640442694,31.896690152046787,0.046263795321637415
57,21425.0,298.00164334482764,1.058425408045977,3127.0936680114937,-266436.5058203909,31.92937794252874,0.04639620689655171
58,21450.0,298.1751836553673,1.0585513276836158,3130.7263356101694,-266436.50077341247,31.964864728813563,0.046575118644067784
59,21475.0,298.41384618333336,1.0587276777777777,3134.3603800166666,-266436.4955338334,32.00104893888889,0.04680052777777776
60,21500.0,298.64598825136613,1.0589396229508197,3137.995525830601,-266436.4893305793,32.03927168852459,0.047061710382513645
61,21525.0,298.6937485698925,1.0591699193548385,3141.6286265752688,-266436.4776991237,32.08170316129033,0.047345301075268804
62,21550.0,298.70914256084654,1.0594051216931215,3145.2628256402113,-266436.4691984974,32.125571153439154,0.04764275132275131
63,21575.0,298.9801567239583,1.0596187656249998,3148.895493802083,-266436.48103705735,32.1691880625,0.04791524479166665
