Variant,E_RMSE (meV/atom),E_bias (meV/atom),T_RMSE (K),T_bias (K),|ΔT|max (K),max|F| ratio
FP64,0.000,0.000,0.00,0.00,0.0,1.000
FP32,35.311,-25.230,1368.72,295.24,15861.7,5.493
FP32_BF16,11.130,7.885,89.06,13.11,315.0,0.137
FP32_FP16,26.262,-16.946,92.67,9.59,608.4,1.036
